num_articles;start;stop;elapsed;rate
10;2022-10-10 21:55:05,237;2022-10-10 21:55:05,476;.239000000;41.841
10;2022-10-10 21:55:16,650;2022-10-10 21:55:16,885;.235000000;42.553
10;2022-10-10 21:55:28,058;2022-10-10 21:55:28,294;.236000000;42.372
10;2022-10-10 21:55:39,472;2022-10-10 21:55:39,707;.235000000;42.553
10;2022-10-10 21:55:50,890;2022-10-10 21:55:51,123;.233000000;42.918
10;2022-10-10 21:56:02,378;2022-10-10 21:56:02,617;.239000000;41.841
10;2022-10-10 21:56:13,772;2022-10-10 21:56:14,010;.238000000;42.016
10;2022-10-10 21:56:25,235;2022-10-10 21:56:25,463;.228000000;43.859
10;2022-10-10 21:56:36,625;2022-10-10 21:56:36,849;.224000000;44.642
10;2022-10-10 21:56:48,066;2022-10-10 21:56:48,261;.195000000;51.282
10;2022-10-10 21:56:59,523;2022-10-10 21:56:59,782;.259000000;38.610
10;2022-10-10 21:57:11,040;2022-10-10 21:57:11,281;.241000000;41.493
10;2022-10-10 21:57:22,445;2022-10-10 21:57:22,678;.233000000;42.918
10;2022-10-10 21:57:33,891;2022-10-10 21:57:34,133;.242000000;41.322
10;2022-10-10 21:57:45,386;2022-10-10 21:57:45,636;.250000000;40.000
10;2022-10-10 21:57:56,926;2022-10-10 21:57:57,153;.227000000;44.052
10;2022-10-10 21:58:08,347;2022-10-10 21:58:08,579;.232000000;43.103
10;2022-10-10 21:58:19,767;2022-10-10 21:58:20,003;.236000000;42.372
10;2022-10-10 21:58:31,241;2022-10-10 21:58:31,471;.230000000;43.478
10;2022-10-10 21:58:42,628;2022-10-10 21:58:42,872;.244000000;40.983
10;2022-10-10 21:58:54,113;2022-10-10 21:58:54,340;.227000000;44.052
10;2022-10-10 21:59:05,603;2022-10-10 21:59:06,041;.438000000;22.831
10;2022-10-10 21:59:17,218;2022-10-10 21:59:17,462;.244000000;40.983
10;2022-10-10 21:59:28,718;2022-10-10 21:59:28,961;.243000000;41.152
10;2022-10-10 21:59:40,179;2022-10-10 21:59:40,428;.249000000;40.160
