num_articles;start;stop;elapsed;rate
10;2022-10-10 21:43:43,014;2022-10-10 21:43:43,047;.033000000;303.030
10;2022-10-10 21:43:43,455;2022-10-10 21:43:43,511;.056000000;178.571
10;2022-10-10 21:43:43,808;2022-10-10 21:43:43,848;.040000000;250.000
10;2022-10-10 21:43:44,270;2022-10-10 21:43:44,306;.036000000;277.777
10;2022-10-10 21:43:44,689;2022-10-10 21:43:44,736;.047000000;212.765
10;2022-10-10 21:43:45,057;2022-10-10 21:43:45,088;.031000000;322.580
10;2022-10-10 21:43:45,423;2022-10-10 21:43:45,461;.038000000;263.157
10;2022-10-10 21:43:45,878;2022-10-10 21:43:45,912;.034000000;294.117
10;2022-10-10 21:43:46,232;2022-10-10 21:43:46,267;.035000000;285.714
10;2022-10-10 21:43:46,684;2022-10-10 21:43:46,721;.037000000;270.270
10;2022-10-10 21:43:47,134;2022-10-10 21:43:47,169;.035000000;285.714
10;2022-10-10 21:43:47,551;2022-10-10 21:43:47,600;.049000000;204.081
10;2022-10-10 21:43:47,904;2022-10-10 21:43:47,924;.020000000;500.000
10;2022-10-10 21:43:48,342;2022-10-10 21:43:48,364;.022000000;454.545
10;2022-10-10 21:43:48,808;2022-10-10 21:43:48,856;.048000000;208.333
10;2022-10-10 21:43:49,165;2022-10-10 21:43:49,227;.062000000;161.290
10;2022-10-10 21:43:49,553;2022-10-10 21:43:49,604;.051000000;196.078
10;2022-10-10 21:43:49,896;2022-10-10 21:43:49,916;.020000000;500.000
10;2022-10-10 21:43:50,312;2022-10-10 21:43:50,350;.038000000;263.157
10;2022-10-10 21:43:50,638;2022-10-10 21:43:50,676;.038000000;263.157
10;2022-10-10 21:43:51,076;2022-10-10 21:43:51,132;.056000000;178.571
10;2022-10-10 21:43:51,414;2022-10-10 21:43:51,451;.037000000;270.270
10;2022-10-10 21:43:51,812;2022-10-10 21:43:51,837;.025000000;400.000
10;2022-10-10 21:43:52,152;2022-10-10 21:43:52,169;.017000000;588.235
10;2022-10-10 21:43:52,527;2022-10-10 21:43:52,565;.038000000;263.157
10;2022-10-10 21:43:52,975;2022-10-10 21:43:53,015;.040000000;250.000
10;2022-10-10 21:43:53,431;2022-10-10 21:43:53,474;.043000000;232.558
10;2022-10-10 21:43:53,783;2022-10-10 21:43:53,840;.057000000;175.438
10;2022-10-10 21:43:54,160;2022-10-10 21:43:54,193;.033000000;303.030
10;2022-10-10 21:43:54,553;2022-10-10 21:43:54,591;.038000000;263.157
10;2022-10-10 21:43:54,871;2022-10-10 21:43:54,888;.017000000;588.235
10;2022-10-10 21:43:55,200;2022-10-10 21:43:55,215;.015000000;666.666
10;2022-10-10 21:43:55,549;2022-10-10 21:43:55,600;.051000000;196.078
10;2022-10-10 21:43:55,918;2022-10-10 21:43:55,941;.023000000;434.782
10;2022-10-10 21:43:56,374;2022-10-10 21:43:56,398;.024000000;416.666
10;2022-10-10 21:43:56,719;2022-10-10 21:43:56,756;.037000000;270.270
10;2022-10-10 21:43:57,062;2022-10-10 21:43:57,085;.023000000;434.782
10;2022-10-10 21:43:57,427;2022-10-10 21:43:57,466;.039000000;256.410
10;2022-10-10 21:43:57,794;2022-10-10 21:43:57,819;.025000000;400.000
10;2022-10-10 21:43:58,137;2022-10-10 21:43:58,186;.049000000;204.081
10;2022-10-10 21:43:58,494;2022-10-10 21:43:58,523;.029000000;344.827
10;2022-10-10 21:43:58,912;2022-10-10 21:43:58,947;.035000000;285.714
10;2022-10-10 21:43:59,311;2022-10-10 21:43:59,370;.059000000;169.491
10;2022-10-10 21:43:59,669;2022-10-10 21:43:59,702;.033000000;303.030
10;2022-10-10 21:44:00,058;2022-10-10 21:44:00,106;.048000000;208.333
10;2022-10-10 21:44:00,390;2022-10-10 21:44:00,405;.015000000;666.666
10;2022-10-10 21:44:00,775;2022-10-10 21:44:00,798;.023000000;434.782
10;2022-10-10 21:44:01,227;2022-10-10 21:44:01,267;.040000000;250.000
10;2022-10-10 21:44:01,616;2022-10-10 21:44:01,677;.061000000;163.934
10;2022-10-10 21:44:01,934;2022-10-10 21:44:01,958;.024000000;416.666
100;2022-10-10 22:04:38,459;2022-10-10 22:04:38,614;.155000000;645.161
100;2022-10-10 22:04:38,997;2022-10-10 22:04:39,139;.142000000;704.225
100;2022-10-10 22:04:39,440;2022-10-10 22:04:39,560;.120000000;833.333
100;2022-10-10 22:04:39,921;2022-10-10 22:04:40,060;.139000000;719.424
100;2022-10-10 22:04:40,364;2022-10-10 22:04:40,495;.131000000;763.358
100;2022-10-10 22:04:40,939;2022-10-10 22:04:41,081;.142000000;704.225
100;2022-10-10 22:04:41,470;2022-10-10 22:04:41,607;.137000000;729.927
100;2022-10-10 22:04:41,926;2022-10-10 22:04:42,050;.124000000;806.451
100;2022-10-10 22:04:42,406;2022-10-10 22:04:42,529;.123000000;813.008
100;2022-10-10 22:04:42,888;2022-10-10 22:04:43,022;.134000000;746.268
100;2022-10-10 22:04:43,470;2022-10-10 22:04:43,610;.140000000;714.285
100;2022-10-10 22:04:43,890;2022-10-10 22:04:44,019;.129000000;775.193
100;2022-10-10 22:04:44,372;2022-10-10 22:04:44,528;.156000000;641.025
100;2022-10-10 22:04:44,845;2022-10-10 22:04:45,002;.157000000;636.942
100;2022-10-10 22:04:45,312;2022-10-10 22:04:45,451;.139000000;719.424
100;2022-10-10 22:04:45,803;2022-10-10 22:04:45,944;.141000000;709.219
100;2022-10-10 22:04:46,273;2022-10-10 22:04:46,390;.117000000;854.700
100;2022-10-10 22:04:46,746;2022-10-10 22:04:46,888;.142000000;704.225
100;2022-10-10 22:04:47,314;2022-10-10 22:04:47,454;.140000000;714.285
100;2022-10-10 22:04:47,860;2022-10-10 22:04:48,045;.185000000;540.540
100;2022-10-10 22:04:48,446;2022-10-10 22:04:48,593;.147000000;680.272
100;2022-10-10 22:04:48,946;2022-10-10 22:04:49,074;.128000000;781.250
100;2022-10-10 22:04:49,534;2022-10-10 22:04:49,681;.147000000;680.272
100;2022-10-10 22:04:50,066;2022-10-10 22:04:50,204;.138000000;724.637
100;2022-10-10 22:04:50,499;2022-10-10 22:04:50,625;.126000000;793.650
100;2022-10-10 22:04:51,086;2022-10-10 22:04:51,254;.168000000;595.238
100;2022-10-10 22:04:51,632;2022-10-10 22:04:51,785;.153000000;653.594
100;2022-10-10 22:04:52,081;2022-10-10 22:04:52,210;.129000000;775.193
100;2022-10-10 22:04:52,564;2022-10-10 22:04:52,722;.158000000;632.911
100;2022-10-10 22:04:53,026;2022-10-10 22:04:53,162;.136000000;735.294
1000;2022-10-10 22:20:15,518;2022-10-10 22:20:16,683;1.165000000;858.369
1000;2022-10-10 22:20:17,014;2022-10-10 22:20:18,143;1.129000000;885.739
1000;2022-10-10 22:20:18,414;2022-10-10 22:20:19,530;1.116000000;896.057
1000;2022-10-10 22:20:19,823;2022-10-10 22:20:20,941;1.118000000;894.454
1000;2022-10-10 22:20:21,244;2022-10-10 22:20:22,380;1.136000000;880.281
1000;2022-10-10 22:20:22,775;2022-10-10 22:20:23,911;1.136000000;880.281
1000;2022-10-10 22:20:24,298;2022-10-10 22:20:25,467;1.169000000;855.431
1000;2022-10-10 22:20:25,815;2022-10-10 22:20:26,957;1.142000000;875.656
1000;2022-10-10 22:20:27,438;2022-10-10 22:20:28,580;1.142000000;875.656
1000;2022-10-10 22:20:29,062;2022-10-10 22:20:30,192;1.130000000;884.955
1000;2022-10-10 22:20:30,579;2022-10-10 22:20:31,742;1.163000000;859.845
1000;2022-10-10 22:20:32,217;2022-10-10 22:20:33,369;1.152000000;868.055
1000;2022-10-10 22:20:33,708;2022-10-10 22:20:34,837;1.129000000;885.739
1000;2022-10-10 22:20:35,099;2022-10-10 22:20:36,224;1.125000000;888.888
1000;2022-10-10 22:20:36,494;2022-10-10 22:20:37,609;1.115000000;896.860
10000;2022-10-10 22:43:23,065;2022-10-10 22:43:33,887;10.822000000;924.043
10000;2022-10-10 22:43:34,281;2022-10-10 22:43:45,176;10.895000000;917.852
10000;2022-10-10 22:43:45,465;2022-10-10 22:43:56,332;10.867000000;920.217
10000;2022-10-10 22:43:56,645;2022-10-10 22:44:07,423;10.778000000;927.815
10000;2022-10-10 22:44:07,740;2022-10-10 22:44:18,554;10.814000000;924.727
10000;2022-10-10 22:44:18,837;2022-10-10 22:44:29,658;10.821000000;924.129
10000;2022-10-10 22:44:30,177;2022-10-10 22:44:41,076;10.899000000;917.515
10000;2022-10-10 22:44:41,335;2022-10-10 22:44:52,249;10.914000000;916.254
10000;2022-10-10 22:44:52,596;2022-10-10 22:45:03,490;10.894000000;917.936
10000;2022-10-10 22:45:03,815;2022-10-10 22:45:14,566;10.751000000;930.146
50000;2022-10-11 00:57:21,170;2022-10-11 00:58:15,785;54.615000000;915.499
50000;2022-10-11 00:58:16,132;2022-10-11 00:59:10,829;54.697000000;914.126
50000;2022-10-11 00:59:11,202;2022-10-11 01:00:05,736;54.534000000;916.859
50000;2022-10-11 01:00:06,050;2022-10-11 01:01:00,759;54.709000000;913.926
50000;2022-10-11 01:01:01,154;2022-10-11 01:01:56,311;55.157000000;906.503
