num_articles;start;stop;elapsed;rate
10;2022-10-06 20:32:28,131;2022-10-06 20:32:28,317;.186000000;53.763
10;2022-10-06 20:32:31,420;2022-10-06 20:32:31,604;.184000000;54.347
10;2022-10-06 20:32:34,575;2022-10-06 20:32:34,770;.195000000;51.282
10;2022-10-06 20:32:37,944;2022-10-06 20:32:38,144;.200000000;50.000
10;2022-10-06 20:32:41,195;2022-10-06 20:32:41,372;.177000000;56.497
10;2022-10-06 20:32:44,442;2022-10-06 20:32:44,628;.186000000;53.763
10;2022-10-06 20:32:47,714;2022-10-06 20:32:47,929;.215000000;46.511
10;2022-10-06 20:32:51,001;2022-10-06 20:32:51,183;.182000000;54.945
10;2022-10-06 20:32:54,307;2022-10-06 20:32:54,488;.181000000;55.248
10;2022-10-06 20:32:57,649;2022-10-06 20:32:57,748;.099000000;101.010
10;2022-10-06 20:33:00,985;2022-10-06 20:33:01,181;.196000000;51.020
10;2022-10-06 20:33:04,364;2022-10-06 20:33:04,551;.187000000;53.475
10;2022-10-06 20:33:07,618;2022-10-06 20:33:07,812;.194000000;51.546
10;2022-10-06 20:33:10,920;2022-10-06 20:33:11,103;.183000000;54.644
10;2022-10-06 20:33:14,264;2022-10-06 20:33:14,431;.167000000;59.880
10;2022-10-06 20:33:17,498;2022-10-06 20:33:17,669;.171000000;58.479
10;2022-10-06 20:33:20,815;2022-10-06 20:33:20,987;.172000000;58.139
10;2022-10-06 20:33:24,086;2022-10-06 20:33:24,247;.161000000;62.111
10;2022-10-06 20:33:27,304;2022-10-06 20:33:27,473;.169000000;59.171
10;2022-10-06 20:33:30,534;2022-10-06 20:33:30,696;.162000000;61.728
10;2022-10-06 20:33:33,826;2022-10-06 20:33:34,007;.181000000;55.248
10;2022-10-06 20:33:37,057;2022-10-06 20:33:37,246;.189000000;52.910
10;2022-10-06 20:33:40,350;2022-10-06 20:33:40,532;.182000000;54.945
10;2022-10-06 20:33:43,595;2022-10-06 20:33:43,742;.147000000;68.027
10;2022-10-06 20:33:46,772;2022-10-06 20:33:46,933;.161000000;62.111
10;2022-10-06 20:33:50,060;2022-10-06 20:33:50,231;.171000000;58.479
10;2022-10-06 20:33:53,428;2022-10-06 20:33:53,618;.190000000;52.631
10;2022-10-06 20:33:56,798;2022-10-06 20:33:56,975;.177000000;56.497
10;2022-10-06 20:34:00,116;2022-10-06 20:34:00,261;.145000000;68.965
10;2022-10-06 20:34:03,495;2022-10-06 20:34:03,640;.145000000;68.965
10;2022-10-06 20:34:06,768;2022-10-06 20:34:06,934;.166000000;60.240
10;2022-10-06 20:34:10,067;2022-10-06 20:34:10,229;.162000000;61.728
10;2022-10-06 20:34:13,302;2022-10-06 20:34:13,481;.179000000;55.865
10;2022-10-06 20:34:16,685;2022-10-06 20:34:16,845;.160000000;62.500
10;2022-10-06 20:34:19,932;2022-10-06 20:34:20,109;.177000000;56.497
10;2022-10-06 20:34:23,261;2022-10-06 20:34:23,425;.164000000;60.975
10;2022-10-06 20:34:26,440;2022-10-06 20:34:26,621;.181000000;55.248
10;2022-10-06 20:34:29,594;2022-10-06 20:34:29,789;.195000000;51.282
10;2022-10-06 20:34:32,891;2022-10-06 20:34:33,050;.159000000;62.893
10;2022-10-06 20:34:36,191;2022-10-06 20:34:36,343;.152000000;65.789
10;2022-10-06 20:34:39,448;2022-10-06 20:34:39,637;.189000000;52.910
10;2022-10-06 20:34:42,703;2022-10-06 20:34:42,866;.163000000;61.349
10;2022-10-06 20:34:46,030;2022-10-06 20:34:46,197;.167000000;59.880
10;2022-10-06 20:34:49,312;2022-10-06 20:34:49,475;.163000000;61.349
10;2022-10-06 20:34:52,631;2022-10-06 20:34:52,796;.165000000;60.606
10;2022-10-06 20:34:55,892;2022-10-06 20:34:56,056;.164000000;60.975
10;2022-10-06 20:34:59,259;2022-10-06 20:34:59,419;.160000000;62.500
10;2022-10-06 20:35:02,495;2022-10-06 20:35:02,648;.153000000;65.359
10;2022-10-06 20:35:05,747;2022-10-06 20:35:05,920;.173000000;57.803
10;2022-10-06 20:35:09,070;2022-10-06 20:35:09,236;.166000000;60.240
100;2022-10-06 20:36:43,151;2022-10-06 20:36:44,726;1.575000000;63.492
100;2022-10-06 20:36:50,248;2022-10-06 20:36:51,881;1.633000000;61.236
100;2022-10-06 20:36:56,668;2022-10-06 20:36:58,353;1.685000000;59.347
100;2022-10-06 20:37:03,186;2022-10-06 20:37:04,838;1.652000000;60.532
100;2022-10-06 20:37:09,673;2022-10-06 20:37:11,238;1.565000000;63.897
100;2022-10-06 20:37:16,049;2022-10-06 20:37:17,793;1.744000000;57.339
100;2022-10-06 20:37:22,592;2022-10-06 20:37:24,387;1.795000000;55.710
100;2022-10-06 20:37:29,881;2022-10-06 20:37:31,560;1.679000000;59.559
100;2022-10-06 20:37:36,422;2022-10-06 20:37:38,116;1.694000000;59.031
100;2022-10-06 20:37:43,685;2022-10-06 20:37:45,650;1.965000000;50.890
100;2022-10-06 20:37:50,423;2022-10-06 20:37:52,159;1.736000000;57.603
100;2022-10-06 20:37:57,744;2022-10-06 20:37:59,358;1.614000000;61.957
100;2022-10-06 20:38:04,088;2022-10-06 20:38:05,876;1.788000000;55.928
100;2022-10-06 20:38:10,691;2022-10-06 20:38:12,527;1.836000000;54.466
100;2022-10-06 20:38:17,350;2022-10-06 20:38:19,018;1.668000000;59.952
100;2022-10-06 20:38:23,833;2022-10-06 20:38:25,368;1.535000000;65.146
100;2022-10-06 20:38:30,133;2022-10-06 20:38:31,788;1.655000000;60.422
100;2022-10-06 20:38:36,558;2022-10-06 20:38:38,193;1.635000000;61.162
100;2022-10-06 20:38:43,082;2022-10-06 20:38:44,615;1.533000000;65.231
100;2022-10-06 20:38:50,216;2022-10-06 20:38:51,963;1.747000000;57.240
100;2022-10-06 20:38:56,799;2022-10-06 20:38:58,463;1.664000000;60.096
100;2022-10-06 20:39:03,315;2022-10-06 20:39:05,006;1.691000000;59.136
100;2022-10-06 20:39:09,729;2022-10-06 20:39:11,447;1.718000000;58.207
100;2022-10-06 20:39:16,385;2022-10-06 20:39:18,127;1.742000000;57.405
100;2022-10-06 20:39:22,942;2022-10-06 20:39:24,726;1.784000000;56.053
100;2022-10-06 20:39:29,605;2022-10-06 20:39:31,283;1.678000000;59.594
100;2022-10-06 20:39:36,119;2022-10-06 20:39:37,866;1.747000000;57.240
100;2022-10-06 20:39:42,652;2022-10-06 20:39:44,434;1.782000000;56.116
100;2022-10-06 20:39:49,293;2022-10-06 20:39:50,988;1.695000000;58.997
100;2022-10-06 20:39:55,875;2022-10-06 20:39:57,442;1.567000000;63.816
1000;2022-10-06 20:42:47,364;2022-10-06 20:43:04,143;16.779000000;59.598
1000;2022-10-06 20:43:27,644;2022-10-06 20:43:44,535;16.891000000;59.203
1000;2022-10-06 20:44:08,087;2022-10-06 20:44:25,773;17.686000000;56.541
1000;2022-10-06 20:44:49,411;2022-10-06 20:45:06,823;17.412000000;57.431
1000;2022-10-06 20:45:30,348;2022-10-06 20:45:47,446;17.098000000;58.486
1000;2022-10-06 20:46:11,069;2022-10-06 20:46:27,691;16.622000000;60.161
1000;2022-10-06 20:46:51,351;2022-10-06 20:47:08,746;17.395000000;57.487
1000;2022-10-06 20:47:32,368;2022-10-06 20:47:49,511;17.143000000;58.332
1000;2022-10-06 20:48:13,059;2022-10-06 20:48:29,632;16.573000000;60.339
1000;2022-10-06 20:48:53,175;2022-10-06 20:49:10,654;17.479000000;57.211
1000;2022-10-06 20:49:34,275;2022-10-06 20:49:51,912;17.637000000;56.698
1000;2022-10-06 20:50:15,413;2022-10-06 20:50:31,778;16.365000000;61.106
1000;2022-10-06 20:50:55,354;2022-10-06 20:51:11,499;16.145000000;61.938
1000;2022-10-06 20:51:34,934;2022-10-06 20:51:52,487;17.553000000;56.970
1000;2022-10-06 20:52:16,153;2022-10-06 20:52:33,643;17.490000000;57.175
10000;2022-10-06 21:07:04,933;2022-10-06 21:10:44,834;219.901000000;45.475
10000;2022-10-06 21:15:19,075;2022-10-06 21:18:56,954;217.879000000;45.897
10000;2022-10-06 21:23:31,298;2022-10-06 21:27:10,812;219.514000000;45.555
10000;2022-10-06 21:31:45,001;2022-10-06 21:35:24,780;219.779000000;45.500
10000;2022-10-06 21:39:59,011;2022-10-06 21:43:41,176;222.165000000;45.011
10000;2022-10-06 21:48:15,405;2022-10-06 21:51:48,243;212.838000000;46.984
10000;2022-10-06 21:56:22,518;2022-10-06 22:00:03,098;220.580000000;45.335
10000;2022-10-06 22:04:37,294;2022-10-06 22:08:13,456;216.162000000;46.261
10000;2022-10-06 22:12:47,688;2022-10-06 22:16:30,880;223.192000000;44.804
10000;2022-10-06 22:21:05,065;2022-10-06 22:24:44,204;219.139000000;45.633
50000;2022-10-06 23:47:06,717;2022-10-07 00:09:14,663;1327.946000000;37.652
50000;2022-10-07 00:37:03,799;2022-10-07 00:59:12,629;1328.830000000;37.627
50000;2022-10-07 01:27:01,691;2022-10-07 01:49:25,982;1344.291000000;37.194
50000;2022-10-07 02:17:15,069;2022-10-07 02:39:16,331;1321.262000000;37.842
50000;2022-10-07 03:07:05,450;2022-10-07 03:29:18,822;1333.372000000;37.498
