 2022-11-06T11:17:25.357Z INFO  dtnd > starting dtnd
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Local Node ID: dtn://n1/
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Work Dir: "/home/thomas/thesis/monntpy-lab/profile"
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > DB Backend: mem
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Announcement Interval: 2s
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Janitor Interval: 10s
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Peer Timeout: 20s
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Web Port: 3000
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > IPv4: true
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > IPv6: false
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Generate Status Reports: false
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > RoutingAgent: epidemic
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > RoutingOptions: {}
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Adding CLA: MtcpConvergenceLayer
 2022-11-06T11:17:25.357Z INFO  dtn7::core         > Registered new application agent for EID: dtn://n1/
 2022-11-06T11:17:25.357Z INFO  dtn7::core         > Registered new application agent for EID: dtn://n1/mail/tu-darmstadt.de/monntpy
 2022-11-06T11:17:25.357Z INFO  dtn7::core         > Registered new application agent for EID: dtn://monntpy.eval/~news
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Starting convergency layers
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Setup mtcp:0.0.0.0:16162
 2022-11-06T11:17:25.357Z INFO  dtn7::ipnd::neighbour_discovery > Configured discovery destination: 224.0.0.26
 2022-11-06T11:17:25.357Z INFO  dtn7::ipnd::neighbour_discovery > Listening on 0.0.0.0:3003
 2022-11-06T11:17:25.359Z INFO  dtn7::core::processing          > Transmission of bundle requested: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645358-0
 2022-11-06T11:17:25.359Z INFO  dtn7::core::processing          > Dispatching bundle: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645358-0
 2022-11-06T11:17:25.359Z INFO  dtn7::core::processing          > Received bundle for local delivery: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645358-0
 2022-11-06T11:17:25.359Z INFO  dtn7::core::processing          > Delivering dtn://n1/mail/tu-darmstadt.de/monntpy-721048645358-0
